market,name,status,http_code,content_type,bytes,path,sha256,url
ae,AE MoIAT ECAS 合格评定 (moiat.gov.ae),ok,200,text/html,425462,ae/AE_MoIAT_ECAS_合格评定_moiat.gov.ae.html,5850df830b4b421c682c0e0c66bb2e1628d0cd1a21edd21feb34c43cf9c5dcee,https://www.moiat.gov.ae/en
ae,AE UAE 立法门户 (u.ae),ok,200,text/html,1279491,ae/AE_UAE_立法门户_u.ae.html,78f532ed36370472411ee0693446f35ae9d018e83af29123e7c013381fd4d0c4,https://u.ae/en/information-and-services
ar,AR InfoLEG 法规库,http_403,403,,0,,,http://servicios.infoleg.gob.ar/
ar,AR Ley 24.240 消费者保护法 (InfoLEG),ok,200,text/html,83944,ar/AR_Ley_24.240_消费者保护法_InfoLEG.html,17a2b25d85cca2a7ec363d3c17391aa07cd6d25174338e0b8b9ec239fba9d7b7,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/638/texact.htm
ar,AR Ley 25.326 个人数据保护法 (InfoLEG),ok,200,text/html,53108,ar/AR_Ley_25.326_个人数据保护法_InfoLEG.html,61548a0fba22550e19a4189c101876238501cb6a9b5821cea5e36478708a3b61,http://servicios.infoleg.gob.ar/infolegInternet/anexos/60000-64999/64790/texact.htm
au,AU ACL Australian Consumer Law (legislation.gov.au),ok,200,text/html,109009,au/AU_ACL_Australian_Consumer_Law_legislation.gov.au.html,394dde3213106604d9a0ce50401fa5f758609a2ba0c5777ca066b52b79ea2cfc,https://www.legislation.gov.au/C2010A00103/latest/text
au,AU Competition and Consumer Act 2010 (legislation.gov.au),ok,200,text/html,76084,au/AU_Competition_and_Consumer_Act_2010_legislation.gov.au.html,39c6ad5a54e545b49191702c52f3d290b6b54424c11ab04f325edb2e6f48b371,https://www.legislation.gov.au/C2010A00135/latest/text
au,AU Electrical Equipment Safety System (EESS),ok,200,text/html,74490,au/AU_Electrical_Equipment_Safety_System_EESS.html,2410b3fed41fb6e3392a72f8603069016d1874c53f325cc037aa2c20565deadd,https://www.eess.gov.au/
au,AU Product Safety Australia mandatory standards (ACCC),http_403,403,,0,,,https://www.productsafety.gov.au/businesses/mandatory-standards
au,AU RCM compliance mark (ACMA),error,0,,0,,,https://www.acma.gov.au/regulatory-compliance-mark-rcm
